City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Caravelas,BR,77.74,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
5,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
12,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
15,Santa Cruz Do Rio Pardo,BR,80.74,scattered clouds,-22.8989,-49.6325,Restaurante e Pousada Os Galeguinhos
21,Rock Sound,BS,77.14,scattered clouds,24.9,-76.2,Pink Corral Bay Property
23,Inirida,CO,85.84,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
25,Bambous Virieux,MU,81.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
31,Riachao Do Jacuipe,BR,83.25,heavy intensity rain,-11.8069,-39.3856,Riachão Palace Hotel
32,Arraial Do Cabo,BR,80.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
33,San Lorenzo,PY,86.94,clear sky,-25.3333,-57.5333,Hotel del Sur
37,Hithadhoo,MV,81.81,broken clouds,-0.6,73.0833,Scoop Guest House
42,Kavaratti,IN,80.37,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
46,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
51,Kongoussi,BF,77.56,clear sky,13.3258,-1.5347,Hôtel La Sagesse
52,Alta Floresta,BR,84.02,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
55,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
59,Limon,CR,82.29,broken clouds,10.0,-83.0333,Hotel Playa Bonita
61,Richards Bay,ZA,76.59,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
62,Oistins,BB,84.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
65,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
68,Harper,LR,78.26,broken clouds,4.375,-7.7169,Screensaver
69,Villamontes,BO,81.45,broken clouds,-21.25,-63.5,Hotel Raldes
73,San Carlos De Bariloche,AR,85.75,clear sky,-41.1456,-71.3082,Hotel Patagonia
74,Souillac,MU,81.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
79,Bachaquero,VE,86.23,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
82,Trinidad,BO,84.18,light rain,-14.8333,-64.9,Hotel Piesta
83,Sao Geraldo Do Araguaia,BR,75.96,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
84,Los Algarrobos,PA,88.45,few clouds,8.5,-82.4333,Waterfall Hostel
92,Marsh Harbour,BS,75.18,moderate rain,26.5412,-77.0636,Abaco Beach Resort
93,Namibe,AO,75.36,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
94,Obala,CM,78.67,broken clouds,4.1667,11.5333,The yafe
97,Ouesso,CG,77.13,overcast clouds,1.6136,16.0517,ABENIE Hotel
101,Sao Jose Da Coroa Grande,BR,81.23,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
102,Rawson,AR,88.18,clear sky,-43.3002,-65.1023,Hosteria Sampedro
104,Coihaique,CL,81.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
106,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
111,Florianopolis,BR,79.83,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
113,Morondava,MG,79.7,light rain,-20.2833,44.2833,La Case Bambou
