City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Caravelas,BR,-17.7125,-39.2481,77.74,81,80,6.58,broken clouds
1,Saint George,US,37.1041,-113.5841,70.54,16,0,1.99,clear sky
2,Ushuaia,AR,-54.8,-68.3,40.66,81,75,37.98,light rain
3,Busselton,AU,-33.65,115.3333,63.05,77,0,11.48,clear sky
4,Marsabit,KE,2.3284,37.9899,71.62,40,11,9.75,few clouds
5,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,87,8,11.21,clear sky
6,Lopsmarka,NO,67.3134,14.4493,31.89,75,40,18.41,scattered clouds
7,Clyde River,CA,70.4692,-68.5914,-23.57,69,75,16.11,broken clouds
8,Sorland,NO,67.667,12.6934,33.66,58,100,25.28,light snow
9,East London,ZA,-33.0153,27.9116,73.2,82,78,9.48,broken clouds
10,Ribeira Grande,PT,38.5167,-28.7,57.6,67,40,8.05,scattered clouds
11,Chuy,UY,-33.6971,-53.4616,70.29,43,1,13.4,clear sky
12,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,34,9.28,scattered clouds
13,Port Alfred,ZA,-33.5906,26.891,72.36,85,89,9.91,overcast clouds
14,La Ferte-Bernard,FR,48.1863,0.6536,53.22,78,100,23.58,overcast clouds
15,Santa Cruz Do Rio Pardo,BR,-22.8989,-49.6325,80.74,67,40,2.46,scattered clouds
16,Tricase,IT,39.9304,18.3553,45.82,77,0,6.76,clear sky
17,Honningsvag,NO,70.9821,25.9704,20.95,93,100,17.27,overcast clouds
18,Dikson,RU,73.5069,80.5464,-4.38,87,100,24.92,overcast clouds
19,Paamiut,GL,61.994,-49.6678,12.04,94,100,18.45,light snow
20,Punta Arenas,CL,-53.15,-70.9167,50.11,50,40,31.07,scattered clouds
21,Rock Sound,BS,24.9,-76.2,77.14,80,49,13.22,scattered clouds
22,Iqaluit,CA,63.7506,-68.5145,-16.31,68,75,0.0,broken clouds
23,Inirida,CO,3.8653,-67.9239,85.84,59,85,1.48,overcast clouds
24,Bredasdorp,ZA,-34.5322,20.0403,67.32,77,95,12.66,light rain
25,Bambous Virieux,MU,-20.3428,57.7575,81.21,89,40,8.05,scattered clouds
26,Tasiilaq,GL,65.6145,-37.6368,19.56,70,100,10.87,overcast clouds
27,Port Elizabeth,ZA,-33.918,25.5701,70.09,78,0,11.5,clear sky
28,Colborne,CA,44.0001,-77.8828,13.66,58,100,7.31,overcast clouds
29,Nanortalik,GL,60.1432,-45.2371,28.65,79,100,8.68,overcast clouds
30,Jamestown,US,42.097,-79.2353,22.32,39,100,3.0,overcast clouds
31,Riachao Do Jacuipe,BR,-11.8069,-39.3856,83.25,58,100,7.72,heavy intensity rain
32,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,78,40,14.97,scattered clouds
33,San Lorenzo,PY,-25.3333,-57.5333,86.94,42,0,9.22,clear sky
34,Mangrol,IN,21.1167,70.1167,67.23,58,0,11.3,clear sky
35,Labrea,BR,-7.2586,-64.7981,74.93,96,100,0.65,moderate rain
36,Hermanus,ZA,-34.4187,19.2345,67.8,83,47,17.2,light rain
37,Hithadhoo,MV,-0.6,73.0833,81.81,75,77,9.44,broken clouds
38,Aurillac,FR,44.9167,2.45,46.65,78,100,18.41,overcast clouds
39,Luderitz,NA,-26.6481,15.1594,74.28,63,0,11.63,clear sky
40,Upernavik,GL,72.7868,-56.1549,-6.74,97,100,13.49,overcast clouds
41,Vaasa,FI,63.096,21.6158,35.62,93,0,9.22,clear sky
42,Kavaratti,IN,10.5669,72.642,80.37,71,51,3.96,broken clouds
43,Arlit,NE,18.7369,7.3853,71.22,11,0,8.75,clear sky
44,Marathon,US,44.9,-89.7668,14.99,40,0,5.75,clear sky
45,Raichur,IN,16.2,77.3667,69.31,57,1,8.5,clear sky
46,Porto Novo,BJ,6.4965,2.6036,84.02,75,10,9.69,clear sky
47,Talnakh,RU,69.4865,88.3972,-7.1,69,16,8.99,few clouds
48,Cape Town,ZA,-33.9258,18.4232,69.12,83,20,23.02,few clouds
49,Beloha,MG,-25.1667,45.05,75.42,87,21,13.04,few clouds
50,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,72.52,90,98,1.88,overcast clouds
51,Kongoussi,BF,13.3258,-1.5347,77.56,11,0,9.19,clear sky
52,Alta Floresta,BR,-9.8756,-56.0861,84.02,70,75,5.75,broken clouds
